# Analysis: 3QUEST, TS 103 106 (WB), TimeRangeMode: MultiRange, Duration: 4
# Settings: Version3QUEST=TS103106, BandWidthMode=WideBand, FilterIRSRCV=False, OneDelayValuePerFile=False, SaveRegressionData=False, SaveMergedFiles=False, AdvancedDelayComp=False, ASLCorrection=True, ResultValues=0
1
2
3
9
21
36
, ExternalCalculatorXMLFile=, ExternalAnalyzerXMLFile=, OutputTempFileFolder=C:\Temp\, LevelCorrectiondB=0
Filename	Part	S-MOS	N-MOS	G-MOS	"Delay: Processed vs. Unprocessed"	"SNR Proc Simple"	"SNR Unproc Simple"	"Delta SNR Simple"
D:\3q_bp_working\proc_files\pub_dut.wav	1	2,4900E+000	3,0390E+000	2,2264E+000	1,6167E-002	-8,4326E+000	-8,4117E+000	-2,0884E-002
D:\3q_bp_working\proc_files\pub_dut.wav	2	1,6227E+000	2,8197E+000	1,6454E+000	1,6333E-002	-1,2121E+000	-9,6331E-001	-2,4876E-001
D:\3q_bp_working\proc_files\pub_dut.wav	3	1,6382E+000	2,8819E+000	1,6792E+000	1,9333E-002	-7,3830E-001	-5,8814E-001	-1,5016E-001
D:\3q_bp_working\proc_files\pub_dut.wav	4	2,3785E+000	3,0242E+000	2,1514E+000	1,9167E-002	1,4894E+000	1,8545E+000	-3,6505E-001
D:\3q_bp_working\proc_files\pub_dut.wav	5	2,3677E+000	2,5872E+000	1,9622E+000	1,9167E-002	-3,2806E+000	-2,7486E+000	-5,3209E-001
D:\3q_bp_working\proc_files\pub_dut.wav	6	1,5964E+000	2,7473E+000	1,6019E+000	1,9167E-002	-4,5839E-001	-5,9152E-001	1,3313E-001
D:\3q_bp_working\proc_files\pub_dut.wav	7	1,6183E+000	2,9574E+000	1,7006E+000	1,9167E-002	-12	-1,0503E+001	-1,4964E+000
D:\3q_bp_working\proc_files\pub_dut.wav	8	2,3035E+000	2,4887E+000	1,8818E+000	1,9167E-002	-3,5324E+000	-3,3214E+000	-2,1109E-001
D:\3q_bp_working\proc_files\pub_dut.wav	9	1,9677E+000	2,7070E+000	1,7803E+000	1,9167E-002	-2,5998E+000	-2,4214E+000	-1,7838E-001
D:\3q_bp_working\proc_files\pub_dut.wav	10	1,9193E+000	2,9847E+000	1,8697E+000	1,9167E-002	-2,6957E+000	-2,4079E+000	-2,8787E-001
D:\3q_bp_working\proc_files\pub_dut.wav	11	2,0299E+000	2,8432E+000	1,8719E+000	1,9167E-002	9,4256E-001	1,4145E+000	-4,7194E-001
D:\3q_bp_working\proc_files\pub_dut.wav	12	1,9103E+000	2,7130E+000	1,7513E+000	1,9167E-002	-3,1196E+000	-2,7066E+000	-4,1294E-001
D:\3q_bp_working\proc_files\pub_dut.wav	13	1,8125E+000	2,9788E+000	1,8098E+000	1,9167E-002	-2,5292E+000	-2,5567E+000	2,7499E-002
D:\3q_bp_working\proc_files\pub_dut.wav	14	1,7461E+000	2,8898E+000	1,7378E+000	1,9167E-002	-12	-12	0
D:\3q_bp_working\proc_files\pub_dut.wav	15	1,6209E+000	2,8525E+000	1,6582E+000	1,9167E-002	-3,7499E+000	-3,2592E+000	-4,9076E-001
D:\3q_bp_working\proc_files\pub_dut.wav	16	2,0595E+000	2,8190E+000	1,8784E+000	1,9167E-002	-1,6007E+000	-1,4260E+000	-1,7473E-001
D:\3q_bp_working\proc_files\road_dut.wav	1	2,4354E+000	2,7204E+000	2,0597E+000	1,9167E-002	-7,7898E+000	-12	4,2100E+000
D:\3q_bp_working\proc_files\road_dut.wav	2	1,9520E+000	2,7736E+000	1,7995E+000	1,9167E-002	-12	-12	0
D:\3q_bp_working\proc_files\road_dut.wav	3	1,9652E+000	3,4826E+000	2,1001E+000	1,9167E-002	3,4137E+000	2,7758E+000	6,3795E-001
D:\3q_bp_working\proc_files\road_dut.wav	4	2,5431E+000	3,0889E+000	2,2805E+000	1,9167E-002	-3,7391E+000	-7,3537E+000	3,6146E+000
D:\3q_bp_working\proc_files\road_dut.wav	5	2,3643E+000	3,1751E+000	2,2052E+000	1,9167E-002	5,9938E+000	7,2771E+000	-1,2833E+000
D:\3q_bp_working\proc_files\road_dut.wav	6	2,0338E+000	3,1428E+000	1,9986E+000	1,9167E-002	4,4293E+000	7,4162E+000	-2,9868E+000
D:\3q_bp_working\proc_files\road_dut.wav	7	2,0657E+000	3,6359E+000	2,2189E+000	1,9167E-002	7,3840E+000	5,6289E+000	1,7551E+000
D:\3q_bp_working\proc_files\road_dut.wav	8	2,5652E+000	2,7931E+000	2,1715E+000	1,9167E-002	-8,7102E+000	-12	3,2895E+000
D:\3q_bp_working\proc_files\road_dut.wav	9	2,2439E+000	3,2954E+000	2,1826E+000	1,9167E-002	1,8534E+000	2,0218E+000	-1,6835E-001
D:\3q_bp_working\proc_files\road_dut.wav	10	2,1583E+000	2,6815E+000	1,8774E+000	1,9167E-002	-12	-12	0
D:\3q_bp_working\proc_files\road_dut.wav	11	2,2326E+000	2,7175E+000	1,9359E+000	1,9167E-002	-12	-12	0
