# Analysis: 3QUEST, TS 103 106 (WB), TimeRangeMode: MultiRange, Duration: 4
# Settings: Version3QUEST=TS103106, BandWidthMode=WideBand, FilterIRSRCV=False, OneDelayValuePerFile=False, SaveRegressionData=False, SaveMergedFiles=False, AdvancedDelayComp=False, ASLCorrection=True, ResultValues=0
1
2
3
9
21
36
, ExternalCalculatorXMLFile=, ExternalAnalyzerXMLFile=, OutputTempFileFolder=C:\Temp\, LevelCorrectiondB=0
Filename	Part	S-MOS	N-MOS	G-MOS	"Delay: Processed vs. Unprocessed"	"SNR Proc Simple"	"SNR Unproc Simple"	"Delta SNR Simple"
D:\3q_bp_working\proc_files\pub_dut.wav	1	2,7241E+000	4,0860E+000	2,8042E+000	1,0517E-001	3,7611E+001	8,6002E+000	2,9011E+001
D:\3q_bp_working\proc_files\pub_dut.wav	2	2,9889E+000	4,1584E+000	3,0127E+000	1,0517E-001	3,9846E+001	8,4085E+000	3,1437E+001
D:\3q_bp_working\proc_files\pub_dut.wav	3	2,5156E+000	4,1325E+000	2,6885E+000	1,0517E-001	3,9068E+001	7,6926E+000	3,1375E+001
D:\3q_bp_working\proc_files\pub_dut.wav	4	3,3021E+000	4,1708E+000	3,2429E+000	1,0517E-001	4,0054E+001	1,3839E+001	2,6214E+001
D:\3q_bp_working\proc_files\pub_dut.wav	5	2,7622E+000	4,0521E+000	2,8158E+000	1,0517E-001	3,7625E+001	9,0323E+000	2,8593E+001
D:\3q_bp_working\proc_files\pub_dut.wav	6	2,5830E+000	4,1746E+000	2,7481E+000	1,0517E-001	3,9920E+001	7,8666E+000	3,2053E+001
D:\3q_bp_working\proc_files\pub_dut.wav	7	2,7167E+000	4,6774E+000	3,0344E+000	1,0517E-001	3,7771E+001	8,2050E+000	2,9566E+001
D:\3q_bp_working\proc_files\pub_dut.wav	8	3,0967E+000	4,1547E+000	3,0871E+000	1,0517E-001	3,9893E+001	1,1095E+001	2,8798E+001
D:\3q_bp_working\proc_files\pub_dut.wav	9	2,8599E+000	4,0347E+000	2,8744E+000	1,0517E-001	3,6655E+001	6,1281E+000	3,0527E+001
D:\3q_bp_working\proc_files\pub_dut.wav	10	2,8338E+000	4,1863E+000	2,9175E+000	1,0517E-001	3,9477E+001	7,1006E+000	3,2377E+001
D:\3q_bp_working\proc_files\pub_dut.wav	11	2,5240E+000	3,7114E+000	2,5238E+000	1,0517E-001	3,3023E+001	1,3292E+001	1,9731E+001
