stk_idx	cpn_name
1101	台泥
1102	亞泥
1210	大成
1216	統一
1229	聯華
1301	台塑
1303	南亞
1319	東陽
1326	台化
1402	遠東新
1476	儒鴻
1477	聚陽
1503	士電
1504	東元
1513	中興電
1519	華城
1590	亞德客-KY
1605	華新
1722	台肥
1795	美時
1802	台玻
1907	永豐餘
2002	中鋼
2006	東和鋼鐵
2027	大成鋼
2049	上銀
2059	川湖
2105	正新
2201	裕隆
2204	中華
2206	三陽工業
2207	和泰車
2301	光寶科
2303	聯電
2308	台達電
2313	華通
2317	鴻海
2324	仁寶
2327	國巨
2330	台積電
2337	旺宏
2344	華邦電
2345	智邦
2347	聯強
2352	佳世達
2353	宏碁
2354	鴻準
2356	英業達
2357	華碩
2360	致茂
2368	金像電
2371	大同
2376	技嘉
2377	微星
2379	瑞昱
2382	廣達
2383	台光電
2385	群光
2388	威盛
2395	研華
2408	南亞科
2409	友達
2412	中華電
2449	京元電子
2454	聯發科
2474	可成
2492	華新科
2542	興富發
2603	長榮
2609	陽明
2610	華航
2615	萬海
2618	長榮航
2633	台灣高鐵
2801	彰銀
2809	京城銀
2812	台中銀
2834	臺企銀
2845	遠東銀
2880	華南金
2881	富邦金
2882	國泰金
2883	開發金
2884	玉山金
2885	元大金
2886	兆豐金
2887	台新金
2888	新光金
2890	永豐金
2891	中信金
2892	第一金
2912	統一超
2915	潤泰全
3005	神基
3008	大立光
3017	奇鋐
3023	信邦
3034	聯詠
3035	智原
3036	文曄
3037	欣興
3044	健鼎
3045	台灣大
3231	緯創
3406	玉晶光
3443	創意
3481	群創
3532	台勝科
3533	嘉澤
3653	健策
3661	世芯-KY
3702	大聯大
3711	日月光投控
4763	材料-KY
4904	遠傳
4919	新唐
4938	和碩
4958	臻鼎-KY
5269	祥碩
5522	遠雄
5871	中租-KY
5876	上海商銀
5880	合庫金
6176	瑞儀
6239	力成
6285	啟碁
6409	旭隼
6415	矽力*-KY
6446	藥華藥
6472	保瑞
6505	台塑化
6526	達發
6531	愛普*
6550	北極星藥業-KY
6592	和潤企業
6669	緯穎
6770	力積電
6781	AES-KY
6789	采鈺
8046	南電
8454	富邦媒
8464	億豐
9904	寶成
9910	豐泰
9914	美利達
9917	中保科
9921	巨大
9941	裕融
9945	潤泰新
9958	世紀鋼
