stk_idx,cpn_name,market_share(million),percent_twse,acc_percent_twse,beta_twii,beta_electrical,beta_finance,,,,
2330,2330台積電,"26,451,388",0.351741,0.351741,1.5,1.1,,,,,
2317,2317鴻海,"2,758,735",0.036835,0.388576,1.17,1.23,,,,,
2454,2454聯發科,"1,994,109",0.026631,0.415207,1.41,0.99,,,,,
2881,2881富邦金,"1,238,114",0.017507,0.432714,0.72,,1.2,,,,
2382,2382廣達,"1,056,428",0.014451,0.447165,1.49,1.4,,,,,
2308,2308台達電,"994,572",0.014006,0.461171,0.77,,1.36,,,,
2882,2882國泰金,"990,963",0.013824,0.474995,1.21,1.14,,,,,
2412,2412中華電,"950,287",0.013797,0.488792,0.07,0.51,,,,,
2891,2891中信金,"684,756",0.009565,0.498357,0.67,,1.22,,,,
2303,2303聯電,"676,087",0.009552,0.507909,1.41,0.98,,,,,
3711,3711日月光投控,"650,227",0.009394,0.517303,0.78,0.51,,,,,
2886,2886兆豐金,"573,310",0.008261,0.525564,0.36,,0.8,,,,
6505,6505台塑化,"498,313",0.007114,0.532678,0.26,,,,,,
1216,1216統一,"498,208",0.007021,0.539699,0.4,,,,,,
2884,2884玉山金,"448,682",0.006358,0.546057,0.39,,0.74,,,,
2603,2603長榮,"428,573",0.006128,0.552185,0.9,0.8,,,,,
3045,3045台灣大,"420,728",0.006068,0.558253,0.03,0.77,,,,,
2357,2357華碩,"409,642",0.005821,0.564074,0.74,,1.17,,,,
2885,2885元大金,"395,321",0.005814,0.569888,0.68,,,,,,
2207,2207和泰車,"387,456",0.005597,0.575485,0.38,,0.7,,,,
5880,5880合庫金,"375,970",0.005588,0.581073,0.32,,0.62,,,,
2892,2892第一金,"357,659",0.005447,0.58652,0.52,,,,,,
1303,1303南亞,"357,181",0.00517,0.59169,0.33,,,,,,
2002,2002中鋼,"348,613",0.005162,0.596852,0.49,,0.92,,,,
2880,2880華南金,"345,784",0.005018,0.60187,0.51,,,,,,
1301,1301台塑,"335,441",0.004826,0.606696,1.58,1.47,,,,,
3008,3008大立光,"325,662",0.004804,0.6115,0.8,1.26,,,,,
2327,2327國巨,"316,536",0.004574,0.616074,0.92,0.87,,,,,
6669,6669緯穎,"315,422",0.004517,0.620591,0.39,,,,,,
4904,4904遠傳,"310,341",0.004514,0.625105,0.62,0.4,,,,,
3034,3034聯詠,"309,430",0.004467,0.629572,0.03,0.64,,,,,
2890,2890永豐金,"308,768",0.00436,0.633932,0.17,,,,,,
2912,2912統一超,"304,161",0.004346,0.638278,1.2,1.15,,,,,
2345,2345智邦,"299,386",0.004225,0.642503,0.52,,0.96,,,,
3231,3231緯創,"298,227",0.004146,0.646649,1.02,2.44,,,,,
2883,2883開發金,"275,660",0.003936,0.650585,0.67,,1.24,,,,
2395,2395研華,"274,919",0.00392,0.654505,0.7,0.48,,,,,
2615,2615萬海,"267,709",0.003897,0.658402,0.71,0.55,,,,,
4938,4938和碩,"264,263",0.003888,0.66229,0.64,,,,,,
5871,5871中租-KY,"246,174",0.003888,0.666178,0.88,0.57,,,,,
1101,1101台泥,"245,036",0.003617,0.669795,0.3,,,,,,
1326,1326台化,"241,774",0.003609,0.673404,0.52,,,,,,
2379,2379瑞昱,"235,899",0.003423,0.676827,0.93,0.79,,,,,
2609,2609陽明,"234,868",0.003415,0.680242,0.39,,0.78,,,,
2887,2887台新金,"232,910",0.003384,0.683626,0.8,,,,,,
2301,2301光寶科,"231,903",0.00331,0.686936,1.43,1.41,,,,,
3017,3017奇鋐,"218,257",0.003205,0.690141,0.67,,,,,,
3037,3037欣興,"217,327",0.003112,0.693253,1.28,1.29,,,,,
2888,2888新光金,"211,758",0.00293,0.696183,1.22,0.72,,,,,
1402,1402遠東新,"207,908",0.002913,0.699096,1.03,1.16,,,,,
2618,2618長榮航,"205,034",0.00287,0.701966,0.5,,0.98,,,,
2801,2801彰銀,"199,930",0.002843,0.704809,0.45,,,,,,
6446,6446藥華藥,"196,661",0.002688,0.707497,0.28,,0.54,,,,
5876,5876上海商銀,"194,199",0.002659,0.710156,0.84,,,,,,
3653,3653健策,"194,146",0.002622,0.712778,0.61,,,,,,
1590,1590亞德客-KY,"192,997",0.002588,0.715366,1.01,0.57,,,,,
1519,1519華城,"188,144",0.00256,0.717926,0.5,,0.82,,,,
6415,6415矽力*-KY,"186,398",0.002556,0.720482,0.72,,,,,,
6409,6409旭隼,"185,118",0.002517,0.722999,1.45,1.33,,,,,
2376,2376技嘉,"176,606",0.002454,0.725453,0.98,,,,,,
1102,1102亞泥,"174,506",0.0024,0.727853,1.17,1.14,,,,,
2105,2105正新,"165,270",0.002379,0.730232,0.26,,,,,,
2474,2474可成,"164,812",0.00228,0.732512,1.12,0.58,,,,,
2360,2360致茂,"161,927",0.002251,0.734763,0.39,0.16,,,,,
2356,2356英業達,"161,260",0.002191,0.736954,0.38,,,,,,
3533,3533嘉澤,"158,566",0.002188,0.739142,1.08,1.01,,,,,
3661,3661世芯-KY,"158,133",0.002186,0.741328,1.21,0.69,,,,,
9910,9910豐泰,"152,232",0.002183,0.743511,1.3,0.86,,,,,
2383,2383台光電,"152,047",0.002183,0.745694,0.78,0.67,,,,,
1476,1476儒鴻,"150,079",0.002119,0.747813,0.56,,,,,,
8464,8464億豐,"149,440",0.002118,0.749931,0.49,,,,,,
3443,3443創意,"144,896",0.002089,0.75202,1.07,0.66,,,,,
